primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.7,13328
The Pilgrim,1923,47,"Comedy,Western",7.2,6067
The Wheel,1923,417,Drama,7.5,2745
Safety Last!,1923,74,"Action,Comedy,Romance",8.1,24461
Souls for Sale,1923,90,"Comedy,Drama,Romance",7.0,1191
The Ten Commandments,1923,136,"Biography,Drama,History",6.8,2912
Three Ages,1923,63,Comedy,7.0,5670
Waxworks,1924,107,"Fantasy,Horror",6.6,2543
Why Worry?,1923,63,"Adventure,Comedy,Family",7.3,2203
A Woman of Paris: A Drama of Fate,1923,82,"Drama,Romance",6.9,6783
"Aelita, the Queen of Mars",1924,111,"Adventure,Comedy,Drama",6.3,3081
Finances of the Grand Duke,1924,80,Comedy,6.2,1053
Girl Shy,1924,87,"Comedy,Romance",7.7,3895
He Who Gets Slapped,1924,95,"Drama,Horror,Romance",7.7,4776
Hot Water,1924,53,Comedy,7.1,1710
L'inhumaine,1924,135,"Drama,Mystery,Romance",7.2,1171
The Iron Horse,1924,150,"Drama,History,Romance",7.2,2723
Kino Eye,1924,78,Documentary,6.9,1292
The Last Laugh,1924,90,Drama,8.0,16278
Manhandled,1924,75,"Comedy,Drama",6.7,1205
The Marriage Circle,1924,85,Comedy,7.0,1625
Michael,1924,93,"Drama,Romance",7.1,2206
The Navigator,1924,59,"Action,Adventure,Comedy",7.5,11890
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,1924,94,"Comedy,Fantasy,Romance",6.4,1198
Die Nibelungen: Kriemhild's Revenge,1924,129,"Adventure,Drama,Fantasy",7.9,5452
Die Nibelungen: Siegfried,1924,100,"Adventure,Drama,Fantasy",8.1,7134
The Hands of Orlac,1924,92,"Crime,Horror,Mystery",7.0,3787
Paris Asleep,1925,59,"Comedy,Sci-Fi",7.1,2106
Peter Pan,1924,105,"Adventure,Family,Fantasy",7.1,1458
Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.1,64261
Strike,1925,82,Drama,7.6,9309
The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",7.7,7546
The Adventures of Prince Achmed,1926,80,"Adventure,Animation,Drama",7.8,7521
The Big Parade,1925,151,"Drama,Romance,War",7.9,7730
Body and Soul,1925,102,"Crime,Drama,Thriller",6.2,1309
Battleship Potemkin,1925,66,"Drama,History,Thriller",7.9,64386
Master of the House,1925,111,"Comedy,Drama",7.0,2586
The Eagle,1925,73,"Action,Adventure,Comedy",6.6,2467
The Freshman,1925,77,"Comedy,Family,Romance",7.5,6505
The Joyless Street,1925,125,Drama,7.1,1847
Go West,1925,83,"Comedy,Western",7.1,5479
The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.1,126644
Grass: A Nation's Battle for Life,1925,71,Documentary,7.7,1294
Greed,1924,140,"Drama,Thriller,Western",8.0,11450
Lady Windermere's Fan,1925,120,Comedy,7.2,1509
Little Annie Rooney,1925,94,"Comedy,Drama",6.8,1116
The Little Colonel,1935,81,"Comedy,Family,Musical",7.0,2041
The Lost World,1925,110,"Adventure,Fantasy,Horror",7.0,6456
The Merry Widow,1925,137,"Drama,Romance",7.2,2723
The Monster,1925,86,"Comedy,Horror,Mystery",6.2,1533
The Phantom of the Opera,1925,93,"Horror,Music",7.5,21903
The Pleasure Garden,1925,75,"Drama,Romance",5.7,3165
Seven Chances,1925,56,"Comedy,Romance",7.8,12827
Stage Struck,1925,70,Comedy,6.8,1174
The Unholy Three,1925,86,"Crime,Drama,Romance",7.1,2471
Variety,1925,72,"Crime,Drama,Romance",7.4,1538
The Wizard of Oz,1925,95,"Adventure,Comedy,Family",4.9,1909
Bardelys the Magnificent,1926,90,"Drama,Romance",7.1,1383
The Bat,1926,86,"Horror,Mystery,Thriller",6.5,1023
Battling Butler,1926,77,"Comedy,Romance,Sport",7.0,4308
Ben-Hur: A Tale of the Christ,1925,143,"Action,Adventure,Drama",7.8,8287
The Black Pirate,1926,88,"Action,Adventure",7.0,2319
La Bohème,1926,95,"Drama,Romance",7.2,1757
Brown of Harvard,1926,85,"Action,Drama,Romance",6.2,1570
Don Juan,1926,110,"Adventure,Romance",7.1,1023
Ella Cinders,1926,75,"Comedy,Romance",7.0,1143
Faust,1926,107,"Drama,Fantasy,Horror",8.1,17956
Flesh and the Devil,1926,112,"Drama,Romance",7.6,4874
For Heaven's Sake,1926,58,"Action,Comedy,Romance",7.5,2109
The Holy Mountain,1926,100,Drama,6.6,1078
A Page of Madness,1926,70,"Drama,Horror,Thriller",7.3,5228
The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,14693
Mother,1926,89,Drama,7.4,3265
Metropolis,1927,153,"Drama,Sci-Fi",8.2,198435
Nana,1926,150,"Drama,Romance",6.6,1024
By the Law,1926,80,"Action,Drama,Mystery",7.6,1319
The Scarlet Letter,1926,115,Drama,7.6,2115
The Son of the Sheik,1926,68,"Adventure,Drama,Romance",6.5,2241
Sparrows,1926,109,Drama,7.3,1618
The Strong Man,1926,75,"Adventure,Comedy,Romance",6.6,1062
Tartuffe,1925,70,"Comedy,Drama",7.1,2906
The Temptress,1926,62,"Drama,Romance",6.9,1445
3 Bad Men,1926,122,"Drama,Romance,Western",7.5,1664
West Point,1927,95,"Drama,Romance,Sport",6.6,2018
The Winning of Barbara Worth,1926,89,"Drama,Romance,Western",6.9,1046
Berlin: Symphony of Metropolis,1927,65,Documentary,7.6,5087
The Cat and the Canary,1927,108,"Comedy,Horror,Mystery",7.1,3753
Chang: A Drama of the Wilderness,1927,69,"Adventure,Documentary,Drama",6.8,1229
College,1927,66,"Comedy,Drama,Sport",6.9,5792
Downhill,1927,110,"Adventure,Drama,Thriller",6.0,3412
Easy Virtue,1928,80,"Drama,Romance,Thriller",5.4,3297
The General,1926,78,"Action,Adventure,Comedy",8.1,104807
The Three-Sided Mirror,1927,38,"Drama,Romance",6.9,1017
Happiness,1935,95,"Comedy,Drama",7.3,1261
It,1927,72,"Comedy,Romance",7.2,3905
The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,11748
The Kid Brother,1927,82,"Comedy,Drama,Family",7.6,5179
The King of Kings,1927,160,"Biography,Drama,Family",7.3,2617
The End of St. Petersburg,1927,85,Drama,7.3,1957
London After Midnight,1927,69,"Horror,Mystery,Thriller",6.7,1562
Love,1927,82,"Drama,Romance",6.8,1281
Napoleon,1927,330,"Biography,Drama,History",8.2,9627
October (Ten Days that Shook the World),1928,95,"Drama,History",7.4,8934
The Red Mill,1927,74,"Comedy,Romance",6.8,1563
The Ring,1927,89,"Drama,Romance,Sport",6.1,4246
7th Heaven,1927,110,"Drama,Romance",7.5,4571
Spring Fever,1927,78,Comedy,6.4,1122
The Student Prince in Old Heidelberg,1927,106,"Drama,Romance",7.5,1793
Sunrise,1927,94,"Drama,Romance",8.1,56143
Tell It to the Marines,1926,103,"Comedy,Drama,Romance",7.1,1709
Bed and Sofa,1927,86,"Comedy,Drama",7.3,1424
Two Arabian Knights,1927,92,"Adventure,Comedy,Romance",6.6,1242
Underworld,1927,80,"Crime,Drama,Film-Noir",7.5,3805
The Unknown,1927,68,"Drama,Horror,Romance",7.7,10101
Wings,1927,144,"Action,Drama,Romance",7.5,15877
Across to Singapore,1928,85,"Crime,Drama,Romance",6.2,1240
Beggars of Life,1928,84,"Adventure,Crime,Drama",7.5,1487
Pandora's Box,1929,109,"Crime,Drama,Romance",7.7,12728
The Cameraman,1928,76,"Comedy,Drama,Family",8.0,14285
Champagne,1928,86,Comedy,5.4,2936
The Fall of the House of Usher,1928,72,"Drama,Fantasy,Horror",7.2,4980
The Circus,1928,72,"Comedy,Family,Romance",8.1,38091
The Crowd,1928,98,"Drama,Romance",8.0,9873
The Docks of New York,1928,76,"Crime,Drama,Film-Noir",7.5,5415
The Farmer's Wife,1928,129,"Comedy,Drama,Romance",5.8,3376
Four Sons,1928,100,"Drama,War",7.2,1018
The Last Command,1928,88,"Drama,Romance,War",7.9,4961
"Laugh, Clown, Laugh",1928,73,"Drama,Romance",7.5,2278
Lights of New York,1928,57,"Crime,Drama,Music",5.6,1044
Lonesome,1928,69,"Comedy,Drama,Romance",7.7,2877
The Man Who Laughs,1928,110,"Drama,Horror,Mystery",7.6,9032
The Mysterious Lady,1928,96,"Drama,Romance",7.2,1538
Our Dancing Daughters,1928,85,Drama,6.7,2153
The Passion of Joan of Arc,1928,114,"Biography,Drama,History",8.1,66953
The Patsy,1928,78,"Comedy,Drama,Romance",7.4,2894
Storm Over Asia,1928,74,"Drama,War",7.0,2475
The Racket,1928,84,"Crime,Drama,Film-Noir",6.6,1813
Sadie Thompson,1928,97,Drama,7.2,2974
Show People,1928,83,"Comedy,Romance",7.6,4203
The Smart Set,1928,80,"Comedy,Romance,Sport",6.4,1092
Speedy,1928,85,"Action,Comedy,Family",7.6,4711
Spies,1928,90,"Romance,Thriller",7.5,4269
"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",7.8,17249
Street Angel,1928,102,Drama,7.3,2760
The Wedding March,1928,113,Drama,7.3,2017
West of Zanzibar,1928,65,"Drama,Horror,Mystery",7.2,2104
White Shadows in the South Seas,1928,88,"Drama,Romance",6.8,1079
The Wind,1928,95,"Drama,Romance,Thriller",8.0,7693
A Woman of Affairs,1928,98,Drama,7.1,1839
Zvenigora,1928,109,"Drama,Fantasy",7.1,1257
Alibi,1929,91,"Action,Crime,Romance",5.6,1077
Applause,1929,80,"Drama,Musical,Romance",7.1,1590
L'Argent,1928,195,"Drama,Romance",7.5,1231
Arsenal,1929,70,"Drama,War",7.2,2484
Asphalt,1929,94,"Crime,Drama,Romance",7.4,1813
Blackmail,1929,85,"Crime,Drama,Mystery",6.9,13256
The Broadway Melody,1929,100,"Drama,Musical,Romance",5.5,8813
Bulldog Drummond,1929,90,"Crime,Drama,Mystery",6.3,1448
The Canary Murder Case,1929,82,"Crime,Drama,Mystery",6.0,1150
Man with a Movie Camera,1929,68,Documentary,8.3,29829
The Cocoanuts,1929,96,"Comedy,Musical,Romance",6.8,8671
Coquette,1929,76,"Drama,Romance",5.5,2476
Desert Nights,1929,62,Drama,6.7,1289
Disraeli,1929,90,"Biography,Drama,History",6.0,1565
The Divine Lady,1928,99,"Drama,History,Romance",6.1,1031
Woman in the Moon,1929,95,"Adventure,Comedy,Drama",7.3,4157
The Great Gabbo,1929,92,"Drama,Music,Romance",6.0,1104
Hallelujah,1929,109,"Drama,Musical",6.7,2177
Hell's Heroes,1929,68,"Drama,Western",7.2,1136
The Hollywood Revue of 1929,1929,130,"Comedy,Music",5.6,2486
In Old Arizona,1928,95,"Drama,Western",5.5,1464
The Iron Mask,1929,105,"Adventure,Drama,History",7.0,1507
The Kiss,1929,62,"Drama,Romance",6.8,1334
The Love Parade,1929,107,"Comedy,Musical,Romance",7.0,2846
Lucky Star,1929,100,"Drama,Romance",7.6,1664
The Manxman,1929,110,"Drama,Romance",6.2,3573
Marianne,1929,111,"Drama,Musical,Romance",6.1,1304
People on Sunday,1930,73,"Comedy,Drama,Romance",7.3,3885
Noah's Ark,1928,135,"Drama,War",6.6,1036
Our Modern Maidens,1929,76,"Comedy,Drama,Romance",6.2,1020
Piccadilly,1929,92,"Crime,Drama",7.1,2041
A Throw of Dice,1929,74,"Adventure,Drama,Romance",6.5,1113
Queen Kelly,1929,101,Drama,7.1,3489
Spite Marriage,1929,76,Comedy,6.9,2747
The General Line,1929,121,Drama,7.2,1832
Diary of a Lost Girl,1929,79,Drama,7.8,5107
Thunderbolt,1929,85,"Crime,Drama,Film-Noir",6.4,1032
The Trespasser,1929,90,"Drama,Romance",6.5,1493
The White Hell of Pitz Palu,1929,75,"Action,Adventure,Drama",7.3,1193
Abraham Lincoln,1930,96,"Biography,Drama,War",5.7,1845
All Quiet on the Western Front,1930,152,"Drama,War",8.1,71171
Animal Crackers,1930,97,"Comedy,Family,Musical",7.4,15913
Anna Christie,1930,89,"Drama,Romance",6.5,3759
The Bat Whispers,1930,84,"Crime,Drama,Horror",6.3,1420
The Big House,1930,87,"Crime,Drama,Thriller",7.1,2868
The Big Trail,1930,125,"Adventure,Drama,Romance",7.2,5010
The Blue Angel,1930,104,"Drama,Music,Romance",7.6,17363
City Girl,1930,90,"Drama,Romance",7.7,4003
Escape from Dartmoor,1930,88,"Crime,Drama",7.5,1328
The Dawn Patrol,1930,108,"Action,Drama,War",7.1,2207
The Divorcee,1930,84,"Drama,Romance",6.7,3971
The Doorway to Hell,1930,78,"Crime,Drama",6.5,1502
Feet First,1930,93,"Adventure,Comedy,Family",6.7,1264
The Florodora Girl,1930,79,"Drama,Musical,Mystery",6.0,1444
Free and Easy,1930,92,"Comedy,Musical",5.5,1093
Hell's Angels,1930,127,"Drama,War",7.3,6495
Juno and the Paycock,1930,85,"Comedy,Drama",4.6,2767
King of Jazz,1930,99,"Animation,Comedy,Musical",6.7,1820
Ladies of Leisure,1930,99,"Drama,Romance",6.7,1841
Little Caesar,1931,79,"Action,Crime,Drama",7.2,15433
Madam Satan,1930,116,"Comedy,Drama,Musical",6.3,1421
Mary,1931,78,"Drama,Mystery,Thriller",5.7,1110
Min and Bill,1930,69,"Comedy,Drama",6.7,2025
Monte Carlo,1930,90,"Comedy,Musical,Romance",6.7,1578
Morocco,1930,92,"Drama,Romance",7.0,8183
Murder!,1930,92,"Crime,Drama,Mystery",6.3,7645
Not So Dumb,1930,76,"Comedy,Romance",5.8,1179
Raffles,1930,72,"Adventure,Crime,Drama",6.4,1184
The Story of the Fox,1937,63,"Adventure,Animation,Comedy",7.6,1725
Romance,1930,76,"Drama,Romance",5.7,1136
The Blood of a Poet,1932,55,Fantasy,7.2,7875
Enthusiasm,1930,67,Documentary,6.8,1156
That Night's Wife,1930,65,"Crime,Drama",6.9,1072
Under the Roofs of Paris,1930,96,"Comedy,Drama,Musical",7.0,2640
The Unholy Three,1930,72,"Crime,Drama,Romance",6.7,1513
Up the River,1930,92,"Comedy,Crime,Drama",5.9,1479
Westfront 1918,1930,75,"Drama,Romance,War",7.3,2722
Whoopee!,1930,93,"Comedy,Musical,Romance",6.3,1285
Earth,1930,75,Drama,7.2,6847
L'Age d'Or,1930,63,"Comedy,Drama",7.2,15503
An American Tragedy,1931,96,"Crime,Drama,Romance",6.4,1051
Arrowsmith,1931,108,Drama,6.2,2180
The Bachelor Father,1931,90,"Comedy,Drama,Romance",6.4,1328
Bad Girl,1931,90,"Drama,Romance",6.4,1812
Bad Sister,1931,68,Drama,6.1,1659
The Black Camel,1931,71,"Crime,Mystery,Thriller",6.6,1829
Blonde Crazy,1931,79,"Comedy,Crime,Drama",7.1,2536
The Champ,1931,86,"Drama,Family,Sport",7.2,3895
The Bitch,1931,95,"Crime,Drama,Romance",7.5,5240
Cimarron,1931,123,"Drama,Western",5.8,7542
City Lights,1931,87,"Comedy,Drama,Romance",8.5,214053
City Streets,1931,83,"Crime,Drama,Film-Noir",7.0,2060
The Criminal Code,1931,97,"Crime,Drama,Romance",6.9,1611
"Dance, Fools, Dance",1931,80,"Crime,Drama,Romance",6.3,1384
Dishonored,1931,91,"Drama,Romance,War",7.2,3477
Dracula,1931,75,"Drama,Fantasy,Horror",7.3,63903
Drácula,1931,104,"Drama,Fantasy,Horror",7.0,5558
The Threepenny Opera,1931,104,"Comedy,Crime,Drama",7.2,2699
Five Star Final,1931,89,"Crime,Drama",7.3,2761
Five and Ten,1931,89,"Drama,Romance",6.4,1508
Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.7,86526
A Free Soul,1931,93,"Crime,Drama,Romance",6.6,3163
The Front Page,1931,101,"Comedy,Crime,Drama",6.7,3776
Guilty Hands,1931,69,"Crime,Drama",6.9,1136
"Hyppolit, the Butler",1931,72,Comedy,7.7,1866
Illicit,1931,79,"Drama,Romance",6.1,1272
Indiscreet,1931,92,"Comedy,Musical,Romance",6.2,1609
Comradeship,1931,93,"Drama,Thriller",7.5,1977
The Last Flight,1931,76,Drama,6.9,1436
The Smiling Lieutenant,1931,93,"Comedy,Musical,Romance",7.1,4310
Limit,1931,114,"Drama,Romance",7.0,3187
M,1931,99,"Crime,Mystery,Thriller",8.3,180672
The Maltese Falcon,1931,80,"Crime,Drama,Film-Noir",6.8,3534
Man of the World,1931,74,"Drama,Romance",6.2,1154
Marius,1931,130,"Comedy,Drama,Romance",7.8,2813
Le Million,1931,91,"Comedy,Musical",7.3,4026
The Miracle Woman,1931,90,"Drama,Romance",7.2,2674
Monkey Business,1931,77,"Comedy,Family,Musical",7.4,14847
Mädchen in Uniform,1931,87,"Drama,Romance",7.5,4262
Night Nurse,1931,72,"Comedy,Crime,Drama",7.0,5006
Other Men's Women,1930,71,"Drama,Romance",6.4,1515
Pardon Us,1931,56,Comedy,6.8,3044
"Parlor, Bedroom and Bath",1931,73,Comedy,6.1,1112
The Phantom of Paris,1931,74,"Drama,Thriller",6.5,1436
Platinum Blonde,1931,89,"Comedy,Romance",6.7,3915
Possessed,1931,76,"Drama,Romance",6.9,2485
Private Lives,1931,84,"Comedy,Drama,Romance",6.7,1477
The Public Enemy,1931,83,"Crime,Drama",7.6,24454
Safe in Hell,1931,73,"Crime,Drama,Romance",6.9,2278
The Secret 6,1931,83,"Crime,Drama",6.3,1193
The Sin of Madelon Claudet,1931,75,"Crime,Drama,Romance",6.6,1278
The Skin Game,1931,85,Drama,5.7,3902
Skippy,1931,85,"Comedy,Drama,Family",6.3,1153
Smart Money,1931,81,"Crime,Drama",6.8,2423
Street Scene,1931,80,"Drama,Romance",7.6,2360
Susan Lenox (Her Fall and Rise),1931,76,"Drama,Romance",6.3,1415
Svengali,1931,81,"Drama,Horror,Romance",6.8,2826
Tabu: A Story of the South Seas,1931,86,"Adventure,Drama,Romance",7.4,6811
Ten Cents a Dance,1931,75,"Crime,Drama,Romance",6.5,1118
Tokyo Chorus,1931,90,"Comedy,Drama",7.1,1678
Tonight or Never,1931,80,"Comedy,Romance",6.5,1821
Trader Horn,1931,122,"Action,Adventure,Drama",6.1,1301
Waterloo Bridge,1931,81,"Drama,Romance,War",7.4,3393
À Nous la Liberté,1931,83,"Comedy,Musical",7.4,5249
American Madness,1932,75,"Drama,Mystery",7.4,2556
The Animal Kingdom,1932,85,"Comedy,Drama,Romance",6.3,1415
Arsène Lupin,1932,84,"Crime,Mystery,Romance",6.9,1455
Back Street,1932,93,"Drama,Mystery,Romance",7.0,1229
The Beast of the City,1932,86,"Crime,Drama,Film-Noir",6.7,1616
A Bill of Divorcement,1932,70,Drama,6.5,2031
Bird of Paradise,1932,80,"Adventure,Drama,Romance",6.0,1741
The Blue Light,1932,85,"Drama,Fantasy,Mystery",6.8,1505
Blonde Venus,1932,93,Drama,7.1,6197
Blondie of the Follies,1932,91,"Comedy,Musical",6.4,1486
Boudu Saved from Drowning,1932,85,Comedy,7.2,6584
Broken Lullaby,1932,76,Drama,7.6,1737
The Cabin in the Cotton,1932,78,Drama,6.6,1986
Call Her Savage,1932,88,"Drama,Romance",7.0,1196
Chandu the Magician,1932,71,"Action,Adventure,Comedy",6.2,1277
Frisco Jenny,1932,73,"Crime,Drama,Music",6.8,1294
Wooden Crosses,1932,115,"Drama,War",7.7,1898
The Crowd Roars,1932,85,"Action,Drama,Sport",6.2,1582
The Dark Horse,1932,75,"Comedy,Romance",6.7,1412
Doctor X,1932,76,"Comedy,Crime,Horror",6.4,4717
Downstairs,1932,77,"Drama,Romance",7.0,1936
Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",7.6,17398
Emma,1932,72,Drama,7.0,1241
Ecstasy,1933,82,"Drama,Romance",6.6,3045
Fanny,1932,125,"Comedy,Drama",7.8,2090
A Farewell to Arms,1932,80,"Drama,Romance,War",6.4,7407
Forbidden,1932,85,"Drama,Romance",6.9,2308
Freaks,1932,64,"Drama,Horror",7.8,54035
Grand Hotel,1932,112,"Drama,Romance",7.3,22176
Hell's House,1932,72,Drama,5.8,1541
Horse Feathers,1932,68,"Comedy,Family,Musical",7.5,13970
Hot Saturday,1932,73,"Drama,Romance",6.5,1494
I Am a Fugitive from a Chain Gang,1932,92,"Crime,Drama,Film-Noir",8.2,15390
If I Had a Million,1932,88,"Comedy,Drama",6.9,2508
Jewel Robbery,1932,68,"Comedy,Crime,Romance",7.2,2965
Kongo,1932,86,"Drama,Horror",6.5,1245
Lawyer Man,1932,72,"Drama,Romance",6.5,1282
Love Me Tonight,1932,104,"Comedy,Musical,Romance",7.5,5034
The Man Who Played God,1932,80,"Drama,Romance",6.8,1366
The Mask of Fu Manchu,1932,69,"Adventure,Drama,Horror",6.2,4050
Mata Hari,1931,89,"Crime,Drama,Romance",6.6,4178
Me and My Gal,1932,79,"Comedy,Drama,Romance",6.6,1546
Merrily We Go to Hell,1932,83,"Comedy,Drama,Romance",6.9,2264
Million Dollar Legs,1932,64,"Comedy,Sport",6.8,1526
The Monster Walks,1932,57,"Horror,Mystery",4.1,1174
The Most Dangerous Game,1932,63,"Action,Adventure,Horror",7.1,15198
Movie Crazy,1932,84,"Comedy,Family,Romance",7.1,1805
